freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.243e+03,1.686e+01,1.328e+01,1.273e+03
1.6,1.014e+03,2.612e+01,3.216e+01,1.072e+03
3.2,4.758e+02,2.048e+01,3.188e+01,5.282e+02
4.7,1.909e+03,2.195e+01,3.497e+01,1.966e+03
6.3,4.980e+03,2.394e+01,3.466e+01,5.038e+03
7.9,8.654e+03,2.271e+01,3.418e+01,8.711e+03
9.5,1.109e+04,2.229e+01,3.446e+01,1.114e+04
11.1,1.321e+04,3.917e+01,3.357e+01,1.328e+04
12.6,1.872e+04,7.216e+01,3.852e+01,1.884e+04
14.2,2.477e+04,4.394e+01,3.774e+01,2.485e+04
15.8,3.255e+04,3.494e+01,3.975e+01,3.262e+04
17.4,4.233e+04,5.592e+01,4.164e+01,4.243e+04
18.9,4.829e+04,1.418e+02,3.841e+01,4.847e+04
20.5,4.954e+04,2.743e+02,3.777e+01,4.985e+04
22.1,6.170e+04,5.351e+02,3.604e+01,6.227e+04
23.7,7.825e+04,4.722e+02,3.683e+01,7.876e+04
25.3,9.375e+04,4.589e+02,4.002e+01,9.425e+04
26.8,1.068e+05,6.542e+02,3.942e+01,1.075e+05
28.4,1.211e+05,9.987e+02,4.104e+01,1.221e+05
30.0,1.516e+05,1.387e+03,4.131e+01,1.531e+05
31.6,1.711e+05,1.925e+03,4.247e+01,1.731e+05
33.2,1.890e+05,2.941e+03,4.127e+01,1.920e+05
34.7,2.054e+05,4.133e+03,4.302e+01,2.096e+05
36.3,2.578e+05,7.302e+03,4.992e+01,2.651e+05
37.9,2.917e+05,1.075e+04,6.281e+01,3.025e+05
39.5,3.353e+05,1.562e+04,1.389e+02,3.510e+05
41.1,4.243e+05,2.423e+04,2.794e+02,4.488e+05
42.6,5.306e+05,3.482e+04,3.649e+02,5.658e+05
44.2,6.943e+05,4.001e+04,4.436e+02,7.348e+05
45.8,6.738e+05,2.390e+04,3.449e+02,6.981e+05
47.4,4.239e+05,1.675e+04,5.132e+02,4.412e+05
49.0,3.571e+05,1.763e+04,1.191e+03,3.759e+05
50.5,4.177e+05,1.553e+04,1.559e+03,4.348e+05
