freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.489e+01,2.238e+03,1.190e+02,2.382e+03
1.6,9.334e+01,1.659e+03,1.758e+02,1.929e+03
3.2,1.075e+02,4.691e+02,1.551e+02,7.317e+02
4.8,1.247e+02,2.101e+03,1.678e+02,2.394e+03
6.3,1.270e+02,5.930e+03,1.764e+02,6.233e+03
7.9,2.017e+02,1.152e+04,1.661e+02,1.189e+04
9.5,2.382e+02,1.119e+04,1.487e+02,1.158e+04
11.1,1.657e+02,1.280e+04,1.449e+02,1.311e+04
12.7,1.154e+02,2.145e+04,1.691e+02,2.173e+04
14.3,1.140e+02,3.479e+04,1.794e+02,3.508e+04
15.8,2.711e+02,5.309e+04,1.967e+02,5.355e+04
17.4,1.186e+03,7.655e+04,2.482e+02,7.799e+04
19.0,1.239e+03,5.640e+04,2.516e+02,5.789e+04
20.6,4.716e+02,3.315e+04,1.817e+02,3.381e+04
22.2,2.254e+02,4.798e+04,1.969e+02,4.840e+04
23.8,2.114e+02,7.110e+04,2.005e+02,7.151e+04
25.3,2.103e+02,9.383e+04,2.078e+02,9.425e+04
26.9,1.906e+02,1.308e+05,3.346e+02,1.313e+05
28.5,1.893e+02,1.858e+05,6.270e+02,1.866e+05
30.1,1.715e+02,2.590e+05,1.323e+03,2.604e+05
31.7,2.062e+02,3.665e+05,2.288e+03,3.690e+05
33.3,2.564e+02,5.570e+05,3.749e+03,5.610e+05
34.8,3.551e+02,9.131e+05,6.861e+03,9.203e+05
36.4,8.373e+02,1.946e+06,1.761e+04,1.964e+06
38.0,2.250e+03,4.935e+06,5.429e+04,4.991e+06
39.6,3.258e+03,6.571e+06,8.255e+04,6.657e+06
41.2,3.113e+03,5.561e+06,7.881e+04,5.643e+06
42.8,2.756e+03,4.259e+06,7.192e+04,4.334e+06
44.3,3.007e+03,3.120e+06,6.460e+04,3.187e+06
45.9,4.819e+03,2.478e+06,6.390e+04,2.547e+06
47.5,5.693e+03,1.868e+06,6.026e+04,1.934e+06
49.1,3.406e+03,1.501e+06,6.141e+04,1.566e+06
50.7,1.844e+03,1.324e+06,6.479e+04,1.391e+06
52.3,1.437e+03,9.778e+05,5.472e+04,1.034e+06
53.8,1.046e+03,7.891e+05,5.279e+04,8.430e+05
55.4,6.384e+02,7.063e+05,5.562e+04,7.625e+05
57.0,3.690e+02,5.525e+05,5.009e+04,6.029e+05
58.6,2.520e+02,5.754e+05,6.349e+04,6.392e+05
60.2,2.091e+02,5.441e+05,7.750e+04,6.218e+05
61.8,1.900e+02,4.300e+05,8.304e+04,5.132e+05
63.3,2.262e+02,3.659e+05,1.012e+05,4.674e+05
64.9,2.297e+02,3.694e+05,1.424e+05,5.120e+05
66.5,2.935e+02,2.902e+05,1.636e+05,4.541e+05
68.1,4.397e+02,2.635e+05,2.206e+05,4.845e+05
69.7,6.814e+02,2.447e+05,3.377e+05,5.832e+05
71.3,1.109e+03,2.175e+05,5.147e+05,7.333e+05
72.8,1.445e+03,1.325e+05,5.151e+05,6.491e+05
74.4,1.531e+03,6.259e+04,3.422e+05,4.063e+05
76.0,1.705e+03,4.369e+04,2.510e+05,2.964e+05
77.6,1.731e+03,4.636e+04,2.002e+05,2.482e+05
79.2,1.323e+03,4.926e+04,1.547e+05,2.053e+05
80.8,1.564e+03,5.112e+04,1.247e+05,1.774e+05
82.3,3.314e+03,5.402e+04,1.113e+05,1.686e+05
83.9,7.845e+03,6.633e+04,1.085e+05,1.827e+05
85.5,8.852e+03,7.567e+04,9.191e+04,1.764e+05
